method,pseudopotential,system,basis,BE,BEerr,SHCIBE
UCCSD,trail,TiO,vtz,0.22233843204548975,0.0,0.24920000000000186
UCCSD(T),trail,TiO,vtz,0.24841016305209962,0.0,0.24920000000000186
UCCSD,trail,CrO,vtz,0.1365318189453717,0.0,0.17072999999999183
UCCSD(T),trail,CrO,vtz,0.16756437303473604,0.0,0.17072999999999183
UCCSD,trail,FeO,vdz,0.11390395644153273,0.0,0.13661999999999352
UCCSD(T),trail,FeO,vdz,0.1318473454686,0.0,0.13661999999999352
UCCSD,trail,VO,vtz,0.20562506045537532,0.0,0.23925999999998737
UCCSD(T),trail,VO,vtz,0.23725962319521443,0.0,0.23925999999998737
UCCSD,trail,CuO,vqz,0.09547076707875135,0.0,0.10873419999998646
UCCSD(T),trail,CuO,vqz,0.10437496000332658,0.0,0.10873419999998646
UCCSD,trail,CrO,v5z,0.1382885152983988,0.0,0.17424681640000017
UCCSD(T),trail,CrO,v5z,0.16999090761713376,0.0,0.17424681640000017
UCCSD,trail,FeO,vtz,0.12473211176322252,0.0,0.1512400000000298
UCCSD(T),trail,FeO,vtz,0.14871193612506772,0.0,0.1512400000000298
UCCSD,trail,ScO,vqz,0.23321277590289213,0.0,0.25536381000000574
UCCSD(T),trail,ScO,vqz,0.255071668788986,0.0,0.25536381000000574
UCCSD,trail,ScO,vtz,0.22916533863049438,0.0,0.2508100000000084
UCCSD(T),trail,ScO,vtz,0.2502841076621607,0.0,0.2508100000000084
UCCSD,trail,MnO,vdz,0.10751128176522684,0.0,0.12700000000000955
UCCSD(T),trail,MnO,vdz,0.12290566001526315,0.0,0.12700000000000955
UCCSD,trail,CuO,vtz,0.09379636111330569,0.0,0.10611999999997579
UCCSD(T),trail,CuO,vtz,0.10228008699129987,0.0,0.10611999999997579
UCCSD,trail,CuO,v5z,0.09563455519628405,0.0,0.10987829589996068
UCCSD(T),trail,CuO,v5z,0.10477204181998445,0.0,0.10987829589996068
UCCSD,trail,VO,v5z,0.20962834839511402,0.0,0.24439381719999176
UCCSD(T),trail,VO,v5z,0.24212427756228294,0.0,0.24439381719999176
UCCSD,trail,CrO,vqz,0.13816861360851362,0.0,0.17305600000001675
UCCSD(T),trail,CrO,vqz,0.16967560465992904,0.0,0.17305600000001675
UCCSD,trail,TiO,vdz,0.2155034650644012,0.0,0.23945000000000505
UCCSD(T),trail,TiO,vdz,0.2380611704207638,0.0,0.23945000000000505
UCCSD,trail,CuO,vdz,0.09261548080121429,0.0,0.1048799999999801
UCCSD(T),trail,CuO,vdz,0.09977153910736547,0.0,0.1048799999999801
UCCSD,trail,VO,vdz,0.1968521321417427,0.0,0.22684999999999889
UCCSD(T),trail,VO,vdz,0.22437891341188276,0.0,0.22684999999999889
UCCSD,trail,FeO,vqz,0.12800679131052561,0.0,0.155512200000004
UCCSD(T),trail,FeO,vqz,0.15316844106453686,0.0,0.155512200000004
