method,pseudopotential,system,basis,IP,IPerr,SHCIIP
SEET(FCI/GF2),trail,Mn,vdz,0.27020000000000266,0.0,0.26890000000000214
SEET(FCI/GF2),trail,Mn,vtz,0.276299999999992,0.0,0.2715199999999953
SEET(FCI/GF2),trail,Mn,vqz,0.2756000000000114,0.0,0.27228999999999814
GF2,trail,Fe,vdz,0.27649999999999864,0.0,0.2845800000000054
GF2,trail,Fe,vtz,0.28470000000000084,0.0,0.28863000000001193
GF2,trail,Fe,vqz,0.28650000000000375,0.0,0.289660000000012
SEET(FCI/GF2),trail,Fe,vdz,0.2780000000000058,0.0,0.2845800000000054
SEET(FCI/GF2),trail,Fe,vtz,0.28839999999999577,0.0,0.28863000000001193
SEET(FCI/GF2),trail,Fe,vqz,0.2886000000000024,0.0,0.289660000000012
SHCI,trail,Sc,vdz,0.24002000000000123,5.4e-08,0.24002000000000123
SHCI,trail,Ti,vdz,0.24903000000000475,2.262675407565124e-07,0.24903000000000475
SHCI,trail,V,vdz,0.24926999999999566,3.2756678708318404e-07,0.24926999999999566
SHCI,trail,Cr,vdz,0.23962000000000216,1.322573249389235e-07,0.23962000000000216
SHCI,trail,Mn,vdz,0.26890000000000214,4.5793012567421245e-07,0.26890000000000214
SHCI,trail,Fe,vdz,0.2845800000000054,6.570509873670383e-07,0.2845800000000054
SHCI,trail,Cu,vdz,0.26966999999999075,1.8707698949897605e-06,0.26966999999999075
SHCI,trail,Sc,vtz,0.2408099999999962,8.800000000000001e-08,0.2408099999999962
SHCI,trail,Ti,vtz,0.2503899999999959,3.714000538502923e-07,0.2503899999999959
SHCI,trail,V,vtz,0.24943000000000382,1.0298218292500892e-06,0.24943000000000382
SHCI,trail,Cr,vtz,0.24793999999998562,4.910244393103056e-07,0.24793999999998562
SHCI,trail,Mn,vtz,0.2715199999999953,1.009802455928881e-06,0.2715199999999953
SHCI,trail,Fe,vtz,0.28863000000001193,7.865888379579257e-07,0.28863000000001193
SHCI,trail,Cu,vtz,0.2815999999999974,7.957267118804043e-07,0.2815999999999974
SHCI,trail,Sc,vqz,0.24089000000000027,1.4604574625780787e-06,0.24089000000000027
SHCI,trail,Ti,vqz,0.25043999999999755,2.3568812019276664e-06,0.25043999999999755
SHCI,trail,V,vqz,0.24819000000000813,1.0035385592990437e-05,0.24819000000000813
SHCI,trail,Cr,vqz,0.2489399999999904,1.764e-06,0.2489399999999904
SHCI,trail,Mn,vqz,0.27228999999999814,4.122805476856748e-06,0.27228999999999814
SHCI,trail,Fe,vqz,0.289660000000012,1.659629127245e-05,0.289660000000012
SHCI,trail,Cu,vqz,0.28298999999998387,2.0027784300815706e-05,0.28298999999998387
SHCI,trail,Sc,v5z,0.24098000000000042,1.398e-05,0.24098000000000042
SHCI,trail,Ti,v5z,0.2507000000000019,0.0,0.2507000000000019
SHCI,trail,V,v5z,0.24801000000000784,0.0,0.24801000000000784
SHCI,trail,Cr,v5z,0.24904999999999688,0.0,0.24904999999999688
SHCI,trail,Mn,v5z,0.2725799999999907,4.9e-08,0.2725799999999907
SHCI,trail,Fe,v5z,0.28996999999999673,2.0025983121934365e-07,0.28996999999999673
SHCI,trail,Cu,v5z,0.28356999999999744,1.1356143711665505e-06,0.28356999999999744
DMC(SD),trail,Cr,cbs,0.24606520882350935,0.00032165450699203065,0.24923518576329684
DMC(SD),trail,Cu,cbs,0.27777356470585346,0.0007630991272778159,0.2841470213631112
DMC(SD),trail,Fe,cbs,0.2806154088235644,0.000294594633865373,0.29056205019509207
DMC(SD),trail,Mn,cbs,0.2635039460784583,0.00038085666070512895,0.27322206028034657
DMC(SD),trail,Sc,cbs,0.2431178438235193,0.0002079641602992998,0.2413455957636188
DMC(SD),trail,Ti,cbs,0.24606219500000037,0.00033236127883067603,0.2512654527442706
DMC(SD),trail,V,cbs,0.24099921852945272,0.0005437796905311173,0.24822199948989976
DMC(MD),trail,Cr,cbs,0.248368228921521,0.0003225976437841814,0.24923518576329684
DMC(MD),trail,Cu,cbs,0.27777356470585346,0.0007630991272778159,0.2841470213631112
DMC(MD),trail,Fe,cbs,0.2808226499999904,0.0003467223235331306,0.29056205019509207
DMC(MD),trail,Mn,cbs,0.2794379499999877,0.00010415277068831857,0.27322206028034657
DMC(MD),trail,Sc,cbs,0.23912621500000597,0.00023486237030197928,0.2413455957636188
DMC(MD),trail,Ti,cbs,0.2459568599999855,0.00036866483433975114,0.2512654527442706
DMC(MD),trail,V,cbs,0.24718522999998527,0.0004103736462916226,0.24822199948989976
SC-GW,trail,Fe,vdz,0.2705299999999937,0.0,0.2845800000000054
SC-GW,trail,Mn,vdz,0.25620999999999583,0.0,0.26890000000000214
SC-GW,trail,Sc,vdz,0.22805999999999926,0.0,0.24002000000000123
SC-GW,trail,Ti,vdz,0.2360400000000027,0.0,0.24903000000000475
SC-GW,trail,V,vdz,0.2408399999999915,0.0,0.24926999999999566
SC-GW,trail,Cr,vdz,0.2436399999999992,0.0,0.23962000000000216
SC-GW,trail,Sc,vtz,0.23093999999999681,0.0,0.2408099999999962
SC-GW,trail,Ti,vtz,0.23900999999999328,0.0,0.2503899999999959
SC-GW,trail,Cr,vtz,0.25268000000001223,0.0,0.24793999999998562
SC-GW,trail,Mn,vtz,0.2597200000000157,0.0,0.2715199999999953
CIC+Q,trail,Sc,vdz,0.2275019999999941,0.0,0.24002000000000123
CIC+Q,trail,Sc,vtz,0.22548900000000316,0.0,0.2408099999999962
CIC+Q,trail,Sc,vqz,0.22467400000000026,0.0,0.24089000000000027
CIC+Q,trail,Sc,v5z,0.22444799999999532,0.0,0.24098000000000042
CIC+Q,trail,Ti,vdz,0.24641600000000352,0.0,0.24903000000000475
CIC+Q,trail,Ti,vtz,0.2456809999999976,0.0,0.2503899999999959
CIC+Q,trail,Ti,vqz,0.24502499999999827,0.0,0.25043999999999755
CIC+Q,trail,Ti,v5z,0.24484999999999957,0.0,0.2507000000000019
