Number-of-determinants,Unnamed: 0,Unnamed: 0.1,basis,basisindex,beta,charge,dmrg(var),index,method,ncas,ncore,note,pseudopotential,pyscf-version.1,system,systype,totalenergy,totalenergy-stocherr,totalenergy-syserr,trial-wavefunction,truncation-weight,SHCIref,SHCIreferr,HFref,HFreferr
,,,vqz,2,,0,,44.0,HF,,,,trail,,Fe,atom,-123.03893433543683,0.0,0.0,,,-123.71675,1.63e-05,-123.03893433543683,0.0
,,,vqz,2,,1,,45.0,HF,,,,trail,,Fe,atom,-122.80506201856676,0.0,0.0,,,-123.42708999999999,3.122e-06,-122.80506201856676,0.0
,,,vqz,2,,0,,46.0,HF,,,,trail,,Cu,atom,-196.5663491464669,0.0,0.0,,,-197.53642,1.98e-05,-196.5663491464669,0.0
,,,vqz,2,,1,,47.0,HF,,,,trail,,Cu,atom,-196.32534219464927,0.0,0.0,,,-197.25343,3.0119999999999997e-06,-196.32534219464927,0.0
,,,v5z,3,,0,,48.0,HF,,,,trail,,O,atom,-15.651935198107855,0.0,0.0,,,-15.84317,0.0,-15.651935198107855,0.0
,,,v5z,3,,1,,49.0,HF,,,,trail,,O,atom,-15.210911583355957,0.0,0.0,,,-15.34479,0.0,-15.210911583355957,0.0
,,,v5z,3,,0,,50.0,HF,,,,trail,,Sc,atom,-46.05773792407675,0.0,0.0,,,-46.48213,0.0,-46.05773792407675,0.0
,,,v5z,3,,1,,51.0,HF,,,,trail,,Sc,atom,-45.86020861913251,0.0,0.0,,,-46.24115,1.398e-05,-45.86020861913251,0.0
,,,v5z,3,,0,,52.0,HF,,,,trail,,Ti,atom,-57.52335292738408,0.0,0.0,,,-57.99386,0.0,-57.52335292738408,0.0
,,,v5z,3,,1,,53.0,HF,,,,trail,,Ti,atom,-57.320045716102676,0.0,0.0,,,-57.743159999999996,0.0,-57.320045716102676,0.0
,,,v5z,3,,0,,54.0,HF,,,,trail,,V,atom,-70.69714489237121,0.0,0.0,,,-71.21983,0.0,-70.69714489237121,0.0
,,,v5z,3,,1,,55.0,HF,,,,trail,,V,atom,-70.47890119732277,0.0,0.0,,,-70.97182,0.0,-70.47890119732277,0.0
,,,v5z,3,,0,,56.0,HF,,,,trail,,Cr,atom,-86.21910985180031,0.0,0.0,,,-86.78532,0.0,-86.21910985180031,0.0
,,,v5z,3,,1,,57.0,HF,,,,trail,,Cr,atom,-85.99871084112391,0.0,0.0,,,-86.53627,0.0,-85.99871084112391,0.0
,,,v5z,3,,0,,58.0,HF,,,,trail,,Mn,atom,-103.51775094214493,0.0,0.0,,,-104.13542,4.9e-08,-103.51775094214493,0.0
,,,v5z,3,,1,,59.0,HF,,,,trail,,Mn,atom,-103.29970385074444,0.0,0.0,,,-103.86284,0.0,-103.29970385074444,0.0
,,,v5z,3,,0,,60.0,HF,,,,trail,,Fe,atom,-123.03901838784545,0.0,0.0,,,-123.7418,1.98e-07,-123.03901838784545,0.0
,,,v5z,3,,1,,61.0,HF,,,,trail,,Fe,atom,-122.805367259054,0.0,0.0,,,-123.45183,3e-08,-122.805367259054,0.0
,,,v5z,3,,0,,62.0,HF,,,,trail,,Cu,atom,-196.56638113671772,0.0,0.0,,,-197.57608000000002,1.068e-06,-196.56638113671772,0.0
,,,v5z,3,,1,,63.0,HF,,,,trail,,Cu,atom,-196.32534584685692,0.0,0.0,,,-197.29251000000002,3.86e-07,-196.32534584685692,0.0
,,,vdz,0,,0,,128.0,CISD,,,,trail,,O,atom,-15.777224235933778,0.0,0.0,,,-15.78125,0.0,-15.650898615762124,0.0
,,,vdz,0,,1,,129.0,CISD,,,,trail,,O,atom,-15.299471686750241,0.0,0.0,,,-15.300670000000002,0.0,-15.209469738930444,0.0
,,,vdz,0,,0,,130.0,CISD,,,,trail,,Sc,atom,-46.361961548028916,0.0,0.0,,,-46.39685,5.4e-08,-46.056720086471316,0.0
,,,vdz,0,,1,,131.0,CISD,,,,trail,,Sc,atom,-46.137776497163344,0.0,0.0,,,-46.15683,0.0,-45.85651158235275,0.0
,,,vdz,0,,0,,132.0,CISD,,,,trail,,Ti,atom,-57.84730730030394,0.0,0.0,,,-57.88305,2.26e-07,-57.52051227493378,0.0
,,,vdz,0,,1,,133.0,CISD,,,,trail,,Ti,atom,-57.6149767587303,0.0,0.0,,,-57.63401999999999,1.1000000000000001e-08,-57.31379021206569,0.0
,,,vdz,0,,0,,134.0,CISD,,,,trail,,V,atom,-71.04141973882327,0.0,0.0,,,-71.07767,3.2600000000000003e-07,-70.69525960473436,0.0
,,,vdz,0,,1,,135.0,CISD,,,,trail,,V,atom,-70.80768678542528,0.0,0.0,,,-70.8284,3.2e-08,-70.47804713713508,0.0
,,,vdz,0,,0,,136.0,CISD,,,,trail,,Cr,atom,-86.5854620267559,0.0,0.0,,,-86.61203,1.24e-07,-86.21795636713652,0.0
,,,vdz,0,,1,,137.0,CISD,,,,trail,,Cr,atom,-86.35065553998156,0.0,0.0,,,-86.37241,4.5999999999999995e-08,-85.99840800159254,0.0
,,,vdz,0,,0,,138.0,CISD,,,,trail,,Mn,atom,-103.90426454657879,0.0,0.0,,,-103.94226,4.56e-07,-103.51554736964935,0.0
,,,vdz,0,,1,,139.0,CISD,,,,trail,,Mn,atom,-103.65261757154234,0.0,0.0,,,-103.67336,4.2e-08,-103.29335920887651,0.0
,,,vdz,0,,0,,140.0,CISD,,,,trail,,Fe,atom,-123.47470338148192,0.0,0.0,,,-123.51812,6.459999999999999e-07,-123.03606101031244,0.0
,,,vdz,0,,1,,141.0,CISD,,,,trail,,Fe,atom,-123.20831399668384,0.0,0.0,,,-123.23353999999999,1.2e-07,-122.79860715251272,0.0
,,,vdz,0,,0,,142.0,CISD,,,,trail,,Cu,atom,-197.17639194989945,0.0,0.0,,,-197.2369,1.152e-06,-196.56440183256336,0.0
,,,vdz,0,,1,,143.0,CISD,,,,trail,,Cu,atom,-196.91823270210168,0.0,0.0,,,-196.96723,1.474e-06,-196.32402730647453,0.0
,,,vtz,1,,0,,144.0,CISD,,,,trail,,O,atom,-15.82029100258718,0.0,0.0,,,-15.827020000000001,0.0,-15.65178729066239,0.0
,,,vtz,1,,1,,145.0,CISD,,,,trail,,O,atom,-15.331009177552593,0.0,0.0,,,-15.33358,0.0,-15.210120374674373,0.0
,,,vtz,1,,0,,146.0,CISD,,,,trail,,Sc,atom,-46.40957002910147,0.0,0.0,,,-46.4523,8.800000000000001e-08,-46.05746799644578,0.0
,,,vtz,1,,1,,147.0,CISD,,,,trail,,Sc,atom,-46.186279979363356,0.0,0.0,,,-46.211490000000005,0.0,-45.85935928101564,0.0
,,,vtz,1,,0,,148.0,CISD,,,,trail,,Ti,atom,-57.90920922243373,0.0,0.0,,,-57.95463,3.6700000000000004e-07,-57.522468837232104,0.0
,,,vtz,1,,1,,149.0,CISD,,,,trail,,Ti,atom,-57.67774969994225,0.0,0.0,,,-57.704240000000006,5.7e-08,-57.318310870851406,0.0
,,,vtz,1,,0,,150.0,CISD,,,,trail,,V,atom,-71.12029298309568,0.0,0.0,,,-71.16898,1.017e-06,-70.69687058820543,0.0
,,,vtz,1,,1,,151.0,CISD,,,,trail,,V,atom,-70.88817862427051,0.0,0.0,,,-70.91955,1.62e-07,-70.47870620861032,0.0
,,,vtz,1,,0,,152.0,CISD,,,,trail,,Cr,atom,-86.67968611975294,0.0,0.0,,,-86.72091999999999,4.48e-07,-86.21884242573502,0.0
,,,vtz,1,,1,,153.0,CISD,,,,trail,,Cr,atom,-86.44010746198812,0.0,0.0,,,-86.47298,2.01e-07,-85.99858355154308,0.0
,,,vtz,1,,0,,154.0,CISD,,,,trail,,Mn,atom,-104.01100177256602,0.0,0.0,,,-104.06366,9.9e-07,-103.51751723050371,0.0
,,,vtz,1,,1,,155.0,CISD,,,,trail,,Mn,atom,-103.76020330423604,0.0,0.0,,,-103.79214,1.99e-07,-103.29880070636771,0.0
,,,vtz,1,,0,,156.0,CISD,,,,trail,,Fe,atom,-123.59610759540286,0.0,0.0,,,-123.6572,5.71e-07,-123.03857246947872,0.0
,,,vtz,1,,1,,157.0,CISD,,,,trail,,Fe,atom,-123.3296044365411,0.0,0.0,,,-123.36856999999999,5.41e-07,-122.80424852863449,0.0
,,,vtz,1,,0,,158.0,CISD,,,,trail,,Cu,atom,-197.35493704121518,0.0,0.0,,,-197.44464,4.5899999999999997e-07,-196.56611793957046,0.0
,,,vtz,1,,1,,159.0,CISD,,,,trail,,Cu,atom,-197.08986967292128,0.0,0.0,,,-197.16304,6.5e-07,-196.32520712735686,0.0
,,,vqz,2,,0,,160.0,CISD,,,,trail,,O,atom,-15.831695188963785,0.0,0.0,,,-15.839089999999999,5.31e-06,-15.651914835093455,0.0
,,,vqz,2,,1,,161.0,CISD,,,,trail,,O,atom,-15.339177818333464,0.0,0.0,,,-15.3421,0.0,-15.210758359146777,0.0
,,,vqz,2,,0,,162.0,CISD,,,,trail,,Sc,atom,-46.42866848289936,0.0,0.0,,,-46.474,1.07e-06,-46.057726629346845,0.0
,,,vqz,2,,1,,163.0,CISD,,,,trail,,Sc,atom,-46.20579002755321,0.0,0.0,,,-46.233109999999996,9.940000000000001e-07,-45.859964744612796,0.0
,,,vqz,2,,0,,164.0,CISD,,,,trail,,Ti,atom,-57.93451643906869,0.0,0.0,,,-57.983,2.24e-06,-57.52332478221496,0.0
,,,vqz,2,,1,,165.0,CISD,,,,trail,,Ti,atom,-57.70361895845425,0.0,0.0,,,-57.73256,7.33e-07,-57.319727268097715,0.0
,,,vqz,2,,0,,166.0,CISD,,,,trail,,V,atom,-71.15314311536551,0.0,0.0,,,-71.20578,1e-05,-70.69711953301085,0.0
,,,vqz,2,,1,,167.0,CISD,,,,trail,,V,atom,-70.92269366256376,0.0,0.0,,,-70.95759,8.42e-07,-70.47878254097698,0.0
,,,vqz,2,,0,,168.0,CISD,,,,trail,,Cr,atom,-86.72133177459902,0.0,0.0,,,-86.76760999999999,0.0,-86.21909581115591,0.0
,,,vqz,2,,1,,169.0,CISD,,,,trail,,Cr,atom,-86.48159003347618,0.0,0.0,,,-86.51867,1.764e-06,-85.99861621753384,0.0
,,,vqz,2,,0,,170.0,CISD,,,,trail,,Mn,atom,-104.05705418901907,0.0,0.0,,,-104.11501,3.37e-06,-103.51774137665831,0.0
,,,vqz,2,,1,,171.0,CISD,,,,trail,,Mn,atom,-103.8066514308268,0.0,0.0,,,-103.84272,2.375e-06,-103.29943473113407,0.0
,,,vqz,2,,0,,172.0,CISD,,,,trail,,Fe,atom,-123.64921880264481,0.0,0.0,,,-123.71675,1.63e-05,-123.03893433543683,0.0
,,,vqz,2,,1,,173.0,CISD,,,,trail,,Fe,atom,-123.38307031582758,0.0,0.0,,,-123.42708999999999,3.122e-06,-122.80506201856676,0.0
,,,vqz,2,,0,,174.0,CISD,,,,trail,,Cu,atom,-197.43658522147632,0.0,0.0,,,-197.53642,1.98e-05,-196.5663491464669,0.0
,,,vqz,2,,1,,175.0,CISD,,,,trail,,Cu,atom,-197.17123468037133,0.0,0.0,,,-197.25343,3.0119999999999997e-06,-196.32534219464927,0.0
,,,v5z,3,,0,,176.0,CISD,,,,trail,,O,atom,-15.83558041901868,0.0,0.0,,,-15.84317,0.0,-15.651935198107855,0.0
,,,v5z,3,,1,,177.0,CISD,,,,trail,,O,atom,-15.341762230595078,0.0,0.0,,,-15.34479,0.0,-15.210911583355957,0.0
,,,v5z,3,,0,,178.0,CISD,,,,trail,,Sc,atom,-46.43590948458834,0.0,0.0,,,-46.48213,0.0,-46.05773792407675,0.0
,,,v5z,3,,1,,179.0,CISD,,,,trail,,Sc,atom,-46.21311474740944,0.0,0.0,,,-46.24115,1.398e-05,-45.86020861913251,0.0
,,,v5z,3,,0,,180.0,CISD,,,,trail,,Ti,atom,-57.94412920775004,0.0,0.0,,,-57.99386,0.0,-57.52335292738408,0.0
,,,v5z,3,,1,,181.0,CISD,,,,trail,,Ti,atom,-57.71334746496681,0.0,0.0,,,-57.743159999999996,0.0,-57.320045716102676,0.0
,,,v5z,3,,0,,182.0,CISD,,,,trail,,V,atom,-71.16565228983215,0.0,0.0,,,-71.21983,0.0,-70.69714489237121,0.0
,,,v5z,3,,1,,183.0,CISD,,,,trail,,V,atom,-70.93580741445626,0.0,0.0,,,-70.97182,0.0,-70.47890119732277,0.0
,,,v5z,3,,0,,184.0,CISD,,,,trail,,Cr,atom,-86.73738822656397,0.0,0.0,,,-86.78532,0.0,-86.21910985180031,0.0
,,,v5z,3,,1,,185.0,CISD,,,,trail,,Cr,atom,-86.49774235554425,0.0,0.0,,,-86.53627,0.0,-85.99871084112391,0.0
,,,v5z,3,,0,,186.0,CISD,,,,trail,,Mn,atom,-104.07557665533614,0.0,0.0,,,-104.13542,4.9e-08,-103.51775094214493,0.0
,,,v5z,3,,1,,187.0,CISD,,,,trail,,Mn,atom,-103.82525717015278,0.0,0.0,,,-103.86284,0.0,-103.29970385074444,0.0
,,,v5z,3,,0,,188.0,CISD,,,,trail,,Fe,atom,-123.6720255368032,0.0,0.0,,,-123.7418,1.98e-07,-123.03901838784545,0.0
,,,v5z,3,,1,,189.0,CISD,,,,trail,,Fe,atom,-123.40592936020796,0.0,0.0,,,-123.45183,3e-08,-122.805367259054,0.0
,,,v5z,3,,0,,190.0,CISD,,,,trail,,Cu,atom,-197.47259298877202,0.0,0.0,,,-197.57608000000002,1.068e-06,-196.56638113671772,0.0
,,,v5z,3,,1,,191.0,CISD,,,,trail,,Cu,atom,-197.20707611425823,0.0,0.0,,,-197.29251000000002,3.86e-07,-196.32534584685692,0.0
,,,vdz,0,,0,,256.0,UCCSD,,,,trail,,O,atom,-15.779080211623132,0.0,0.0,,,-15.78125,0.0,-15.650898615762124,0.0
,,,vdz,0,,1,,257.0,UCCSD,,,,trail,,O,atom,-15.299800503596158,0.0,0.0,,,-15.300670000000002,0.0,-15.209469738930444,0.0
,,,vdz,0,,0,,258.0,UCCSD,,,,trail,,Sc,atom,-46.38595844384197,0.0,0.0,,,-46.39685,5.4e-08,-46.056720086471316,0.0
,,,vdz,0,,1,,259.0,UCCSD,,,,trail,,Sc,atom,-46.14969669527632,0.0,0.0,,,-46.15683,0.0,-45.85651158235275,0.0
,,,vdz,0,,0,,260.0,UCCSD,,,,trail,,Ti,atom,-57.87237337860729,0.0,0.0,,,-57.88305,2.26e-07,-57.52051227493378,0.0
,,,vdz,0,,1,,261.0,UCCSD,,,,trail,,Ti,atom,-57.62741179100748,0.0,0.0,,,-57.63401999999999,1.1000000000000001e-08,-57.31379021206569,0.0
,,,vdz,0,,0,,262.0,UCCSD,,,,trail,,V,atom,-71.06739283571673,0.0,0.0,,,-71.07767,3.2600000000000003e-07,-70.69525960473436,0.0
,,,vdz,0,,1,,263.0,UCCSD,,,,trail,,V,atom,-70.8223077092011,0.0,0.0,,,-70.8284,3.2e-08,-70.47804713713508,0.0
,,,vdz,0,,0,,264.0,UCCSD,,,,trail,,Cr,atom,-86.6046263052922,0.0,0.0,,,-86.61203,1.24e-07,-86.21795636713652,0.0
,,,vdz,0,,1,,265.0,UCCSD,,,,trail,,Cr,atom,-86.3665613390929,0.0,0.0,,,-86.37241,4.5999999999999995e-08,-85.99840800159254,0.0
,,,vdz,0,,0,,266.0,UCCSD,,,,trail,,Mn,atom,-103.93261369236343,0.0,0.0,,,-103.94226,4.56e-07,-103.51554736964935,0.0
,,,vdz,0,,1,,267.0,UCCSD,,,,trail,,Mn,atom,-103.66757407055952,0.0,0.0,,,-103.67336,4.2e-08,-103.29335920887651,0.0
,,,vdz,0,,0,,268.0,UCCSD,,,,trail,,Fe,atom,-123.50779840651155,0.0,0.0,,,-123.51812,6.459999999999999e-07,-123.03606101031244,0.0
,,,vdz,0,,1,,269.0,UCCSD,,,,trail,,Fe,atom,-123.22715350312636,0.0,0.0,,,-123.23353999999999,1.2e-07,-122.79860715251272,0.0
,,,vdz,0,,0,,270.0,UCCSD,,,,trail,,Cu,atom,-197.22228761675166,0.0,0.0,,,-197.2369,1.152e-06,-196.56440183256336,0.0
,,,vdz,0,,1,,271.0,UCCSD,,,,trail,,Cu,atom,-196.9574045591393,0.0,0.0,,,-196.96723,1.474e-06,-196.32402730647453,0.0
,,,vtz,1,,0,,272.0,UCCSD,,,,trail,,O,atom,-15.82314937712888,0.0,0.0,,,-15.827020000000001,0.0,-15.65178729066239,0.0
,,,vtz,1,,1,,273.0,UCCSD,,,,trail,,O,atom,-15.331593370228314,0.0,0.0,,,-15.33358,0.0,-15.210120374674373,0.0
,,,vtz,1,,0,,274.0,UCCSD,,,,trail,,Sc,atom,-46.43718489311391,0.0,0.0,,,-46.4523,8.800000000000001e-08,-46.05746799644578,0.0
,,,vtz,1,,1,,275.0,UCCSD,,,,trail,,Sc,atom,-46.20101314857256,0.0,0.0,,,-46.211490000000005,0.0,-45.85935928101564,0.0
,,,vtz,1,,0,,276.0,UCCSD,,,,trail,,Ti,atom,-57.93908246335163,0.0,0.0,,,-57.95463,3.6700000000000004e-07,-57.522468837232104,0.0
,,,vtz,1,,1,,277.0,UCCSD,,,,trail,,Ti,atom,-57.69382220179495,0.0,0.0,,,-57.704240000000006,5.7e-08,-57.318310870851406,0.0
,,,vtz,1,,0,,278.0,UCCSD,,,,trail,,V,atom,-71.15279224831197,0.0,0.0,,,-71.16898,1.017e-06,-70.69687058820543,0.0
,,,vtz,1,,1,,279.0,UCCSD,,,,trail,,V,atom,-70.90803572594318,0.0,0.0,,,-70.91955,1.62e-07,-70.47870620861032,0.0
,,,vtz,1,,0,,280.0,UCCSD,,,,trail,,Cr,atom,-86.70659076775038,0.0,0.0,,,-86.72091999999999,4.48e-07,-86.21884242573502,0.0
,,,vtz,1,,1,,281.0,UCCSD,,,,trail,,Cr,atom,-86.4615517308287,0.0,0.0,,,-86.47298,2.01e-07,-85.99858355154308,0.0
,,,vtz,1,,0,,282.0,UCCSD,,,,trail,,Mn,atom,-104.04778117933417,0.0,0.0,,,-104.06366,9.9e-07,-103.51751723050371,0.0
,,,vtz,1,,1,,283.0,UCCSD,,,,trail,,Mn,atom,-103.78146526904207,0.0,0.0,,,-103.79214,1.99e-07,-103.29880070636771,0.0
,,,vtz,1,,0,,284.0,UCCSD,,,,trail,,Fe,atom,-123.63925375399349,0.0,0.0,,,-123.6572,5.71e-07,-123.03857246947872,0.0
,,,vtz,1,,1,,285.0,UCCSD,,,,trail,,Fe,atom,-123.35622693757796,0.0,0.0,,,-123.36856999999999,5.41e-07,-122.80424852863449,0.0
,,,vtz,1,,0,,286.0,UCCSD,,,,trail,,Cu,atom,-197.41740370680068,0.0,0.0,,,-197.44464,4.5899999999999997e-07,-196.56611793957046,0.0
,,,vtz,1,,1,,287.0,UCCSD,,,,trail,,Cu,atom,-197.14212776934414,0.0,0.0,,,-197.16304,6.5e-07,-196.32520712735686,0.0
,,,vqz,2,,0,,288.0,UCCSD,,,,trail,,O,atom,-15.834743331725905,0.0,0.0,,,-15.839089999999999,5.31e-06,-15.651914835093455,0.0
,,,vqz,2,,1,,289.0,UCCSD,,,,trail,,O,atom,-15.339802474778907,0.0,0.0,,,-15.3421,0.0,-15.210758359146777,0.0
,,,vqz,2,,0,,290.0,UCCSD,,,,trail,,Sc,atom,-46.4573768287099,0.0,0.0,,,-46.474,1.07e-06,-46.057726629346845,0.0
,,,vqz,2,,1,,291.0,UCCSD,,,,trail,,Sc,atom,-46.22134076672064,0.0,0.0,,,-46.233109999999996,9.940000000000001e-07,-45.859964744612796,0.0
,,,vqz,2,,0,,292.0,UCCSD,,,,trail,,Ti,atom,-57.965885691801745,0.0,0.0,,,-57.983,2.24e-06,-57.52332478221496,0.0
,,,vqz,2,,1,,293.0,UCCSD,,,,trail,,Ti,atom,-57.720794629913655,0.0,0.0,,,-57.73256,7.33e-07,-57.319727268097715,0.0
,,,vqz,2,,0,,294.0,UCCSD,,,,trail,,V,atom,-71.18778095431433,0.0,0.0,,,-71.20578,1e-05,-70.69711953301085,0.0
,,,vqz,2,,1,,295.0,UCCSD,,,,trail,,V,atom,-70.94431928426559,0.0,0.0,,,-70.95759,8.42e-07,-70.47878254097698,0.0
,,,vqz,2,,0,,296.0,UCCSD,,,,trail,,Cr,atom,-86.75091365432642,0.0,0.0,,,-86.76760999999999,0.0,-86.21909581115591,0.0
